what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1460102316251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460102318182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102321218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102330769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102340779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102344188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102346240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102364651
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1460102367406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460102374263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460102375176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102379432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102379505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102380925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102391611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460102393369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460102394326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102396477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102467656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460102473194
