what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709093287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709093322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709093355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709093392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709093425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709099496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709104511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709104661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709107807
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460709109372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460709117643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709121230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709123546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460709128971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460709131276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460709133547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709135638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709155708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709160623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709162475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709172990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709177453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460709177708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460709179066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460709183931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460709185197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460709187068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709192813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460709202206
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460709202302
