what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971444878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971445872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971489973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971514283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460971515579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971523558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971527404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971534760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1460971545784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971546811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971547894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971552283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971565894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971572882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971574713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971582424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971587044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971588297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971598749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971600652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971601627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971607453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971608252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971614679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971617840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971623095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971624420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971633821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971635949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971646465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971648118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971649921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971661935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971679747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971689851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971690999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971698658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971704224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971707517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971709562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971736656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460971750459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971754534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971759390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971766989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971768109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460971776637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971780653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971783425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460971786862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460971790321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971792428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971864490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971866262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971874188
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460971874256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971883763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971889309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971890507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460971948206
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460971948321
