what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460982656653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982658305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982687412
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460982699389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460982713945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982715185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982716392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982718097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982718783
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460982721040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460982728404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460982731307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1460982733620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460982740909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460982743469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982749014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982790000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982803714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982810211
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460982832568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460982840327
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460982842847
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460982844458
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460982845277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460982847661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460982848681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982850399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460982860496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460982880425
