what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1460702765963
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1460702765991
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1460702766217
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1460702766847
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1460702766893
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1460702766922
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1460702767101
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702769153
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702769251
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702770230
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702770316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702784160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702786564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702882812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702893692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702894613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702950682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702956953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702963998
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702964381
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702964461
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1460702964466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702973133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460702984594
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1460702984713
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702986526
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702986611
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460702987017
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1460702990326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703005565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703024341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703030672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703032220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703045147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703048306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703051851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703056831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703087365
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703087478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703093176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703108747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703111164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703112534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703121313
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703121390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703134716
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1460703488736
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1460703488780
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1460703489129
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1460703489263
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1460703489341
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1460703489629
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1460703489656
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1460703489726
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1460703489876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703495296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703496643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703636754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703636827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703639130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703669833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703670116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703680446
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703680775
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703680840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703691045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703698349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703700175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703721077
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1460703721183
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703722481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703792841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703798132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703798900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703807531
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703807612
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703808257
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703810294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703811203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703821930
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703822003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703834521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703839402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703841114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703848075
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703848163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703851740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1460703854298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1460703854755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1460703855139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703855926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703865611
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1460703865694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703877612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703881389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703883698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703888030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1460703893428
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1460703894945
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460703909911
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460703924283
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460703938105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703943088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703955749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460703969444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703977730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460703994635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704012831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1460704023897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704041425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704043176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704104761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704133628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704143264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704149596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704150681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704198050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1460704201217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704202101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1460704204111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704205267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704280209
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704284716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704284989
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704285234
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704285404
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1460704285798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460704298451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460704302322
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1460704303526
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460704304941
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1460704305704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704317565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704324369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704342568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704346000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704375041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704399875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704403851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704404876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704422920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460704425715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704438894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704441744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704478061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704500081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704517103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704524055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704525870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704535258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1460704540644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704553510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704568442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704577470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704582694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704669383
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704680008
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704680333
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704680778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1460704681476
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1460704682247
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1460704684764
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1460704693055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460704693459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1460704694039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704705380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704720581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704956458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704969202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1460704991919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460704992878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460705025199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1460705028149
