what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1460097723772
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1460097723776
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1460097723776
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1460097723780
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1460097723784
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1460097723788
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1460097723793
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1460097723794
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1460097723796
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1460097723799
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1460097723804
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1460097723808
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1460097723812
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1460097723812
os,sysinfo,,,"win32",1460097723820
arch,sysinfo,,,"x86_64",1460097723820
ws,sysinfo,,,"win32",1460097723820
locale,sysinfo,,,"fr_FR",1460097723820
processors,sysinfo,,,"8",1460097723820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1460097723820
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1460097723820
java.specification.name,sysinfo,,,"Java Platform API Specification",1460097723820
java.specification.vendor,sysinfo,,,"Oracle Corporation",1460097723820
java.specification.version,sysinfo,,,"1.8",1460097723820
java.vendor,sysinfo,,,"Oracle Corporation",1460097723820
java.version,sysinfo,,,"1.8.0_65",1460097723820
java.vm.info,sysinfo,,,"mixed mode",1460097723820
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1460097723820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460097723820
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1460097723820
java.vm.specification.version,sysinfo,,,"1.8",1460097723820
java.vm.vendor,sysinfo,,,"Oracle Corporation",1460097723820
java.vm.version,sysinfo,,,"25.65-b01",1460097723820
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1460097724228
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1460097724412
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1460097724428
